Producto,Tienda,Dirección,Cantidad,Precio Unitario(ARS),Precio(ARS),Precio U Venta(ARS),Precio Vendido(ARS),Cantidad Vendida,Notas
Caña de pesca bañera,Tienda 3,,1,360,360,800,,,
Rompecabezas,Tienda 3,Castelli 149,3,70,210,200,,,
Alcancia,Tienda 3,Castelli 149,2,220,440,500,,,
Peluditos grandes,Tienda 3,Castelli 149,4,380,380,700,700,1,
Peluditos chicos,Tienda 3,Castelli 149,3,300,300,600,,,
Slinky celeste,Tienda 3,Castelli 149,1,240,240,500,,,
Slinky comun,Tienda 3,Castelli 149,1,230,230,500,,,
Aviones de cuerda,Tienda 3,Castelli 149,2,90,180,250,,,
Pulsera animal,Tienda 3,Castelli 149,4,100,400,250,500,2,
Mosquito con luces,Tienda 3,Castelli 149,11,70,770,200,,,Uno de los mosquitos es de muestra.
Billetes didacticos,Tienda 3,Castelli 149,1,90,90,200,,,
Tanque Soldaditos,Tienda 3,Castelli 149,1,400,400,900,,,
Pizarra,Tienda 2,Castelli y Bartolomé Mitre,4,360,1440,800,1600,2,
Clackers,Tienda 2,Castelli y Bartolomé Mitre,2,70,140,200,,,
Pintura,Tienda 2,Castelli y Bartolomé Mitre,1,270,270,600,600,1,
Bolitas,Tienda 2,Castelli y Bartolomé Mitre,1,200,200,400,,,
Ratita de color,Nuevo Mundo,Castelli 249,4,102,408,250,,,
Pelota cara perro,Nuevo Mundo,Castelli 249,2,180,360,500,,,
Pollito de goma,Nuevo Mundo,Castelli 249,1,184,184,500,,,
Bolsa de hueso,Nuevo Mundo,Castelli 249,1,299,299,650,,,
Hamburguesa,Nuevo Mundo,Castelli 249,1,305,305,700,,,
Bife,Nuevo Mundo,Castelli 249,1,253,253,600,,,
Pesa sonajero,Nuevo Mundo,Castelli 249,2,299,299,650,,,
Caleidoscopio,Nuevo Mundo,Castelli 249,1,350,350,800,,,
Cubo de Rubik Chicos,Tienda 4,Perón 2792,6,90,300,300,,,
Bolones,Tienda 4,Perón 2792,1,260,260,600,,,
UNO,Tienda 4,Perón 2792,1,170,170,350,,,
UNO Flip,Tienda 4,Perón 2792,1,170,170,350,,,
Burbujeros,Tienda 4,Perón 2792,7,60,420,200,1000,5,
Slinky chico,Tienda 4,Perón 2792,3,180,540,400,,,
Pollitos,Tienda 4,Perón 2792,5,200,1000,500,500,1,
Arañas,Tienda 4,Perón 2792,3,40,120,150,150,1,
Bolitas,Tienda 4,Perón 2792,5,160,800,400,,,
Reptiles,Tienda 4,Perón 2792,6,140,840,350,300,1,
